Name,Rating,Number,Type
Carat Lane Trading Pvt Ltd,A1+,0.4,Ultra short duration
Asirvad Microfinance Pvt Ltd,AA-,9.2,Ultra short duration
Indian Receivable Trust 18,CARE A,2.52,Ultra short duration
Aavas Financiers Ltd,LAA-,2.24,Ultra short duration
KEC International Ltd,P1+,23.559999999999995,"Ultra short duration,Liquid"
Cadila Healthcare Ltd,P1+,2.2,Ultra short duration
APL Apollo Tubes Ltd,P1+,31.6,"Ultra short duration,Liquid"
Bombay Burmah Trading Corporation Ltd,F1+,1.12,Ultra short duration
Jagran Prakashan Ltd,P1+,0.68,Ultra short duration
Indus Towers Ltd,P1+,19.360000000000003,"Ultra short duration,Liquid"
ICICI Home Finance Company Ltd,AAA,6.06,"Ultra short duration,Liquid"
Shree Cement Ltd,PR1+,4.96,"Ultra short duration,Liquid"
LT Finance Holdings Ltd,P1+,39.66,"Ultra short duration,Liquid"
Ceat Ltd,PR1+,14.0,"Ultra short duration,Liquid"
Astec Lifesciences Ltd,A1+,18.28,"Ultra short duration,Liquid"
TV18 Broadcast Ltd,A1+,20.6,"Ultra short duration,Liquid"
Axis Securities Ltd,A1+,19.76,"Ultra short duration,Liquid"
Dalmia Bharat Ltd,P1+,6.859999999999999,"Ultra short duration,Liquid"
Clix Finance India Private Ltd,CARE A+,1.93,Ultra short duration
Northern Arc Capital Ltd,LA+,21.08,"Ultra short duration,Liquid"
J K Lakshmi Cement Ltd,P1+,16.52,"Ultra short duration,Liquid"
Time Technoplast Ltd,P1+,27.24,"Ultra short duration,Liquid"
Action Construction Equipment Ltd,A1+,17.2,Liquid
SML Isuzu Ltd,A1+,17.2,Liquid
Surya Roshni Ltd,A1+,12.9,Liquid
Chambal Fertilizers  Chemicals Ltd,A1+,3.24,Liquid
NLC India Ltd,PR1+,35.58,Liquid
Sterlite Technologies Ltd,A1+,1.68,Liquid
Aditya Birla Money Ltd,P1+,9.06,Liquid
Bajaj Financial Securities Ltd,P1+,0.42,Liquid
Godrej Agrovet Ltd,A1+,3.1,Liquid
DCM Shriram Ltd,A1+,1.2,Liquid
Bandhan Bank Ltd,A1+,16.259999999999998,Liquid
PNB Gilts Ltd,P1+,2.04,Liquid
JM Financial Capital Ltd,P1+,2.6,Liquid
Sharekhan BNP Paribas Financial Services Pvt Ltd,A1+,8.12,Liquid
Dalmia Cement Bharat Ltd,P1+,12.040000000000004,Liquid
Hindustan Aeronautics Ltd,A1+,9.18,Liquid
Godrej  Boyce Manufacturing Ltd,P1+,2.76,Liquid
NLC Tamil Nadu Power Ltd,BWR A1+,2.28,Liquid
Kotak Securities Ltd,P1+,33.040000000000006,Liquid
Berger Paints India Ltd,P1+,21.880000000000003,Liquid
IIFL Wealth Prime Ltd,P1+,2.7,Liquid
IIFL Finance Ltd,P1+,13.64,Liquid
Blue Star Ltd,P1+,12.22,Liquid
Vardhman Textiles Ltd,P1+,1.18,Liquid
Barclays Bank Plc,A1+,2.0,Liquid
CSB Bank Ltd,P1+,1.4,Liquid
BOB Financial Solutions Ltd,P1+,1.16,Liquid
Century Textile  Industries Ltd,P1+,0.24,Liquid
SRF Ltd,P1+,0.24,Liquid
Havells India Ltd,PR1+,1.18,Liquid
Bharat Earth Movers Ltd,A1+,19.08,Liquid
